product_id,name,family_id,family_name,family_visible,saleable_as_main,use_as_direct_sale,format,winerim_id,path,mapping_status,tracking_status,tracking_error,reason
772864,B Coraz Finca La Esclavitud,900157,TINTOS WINERIM,True,False,False,BOTTLE,272864,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272864 returned 404,mapping_rejected_terminal_or_deleted_winerim
772865,B Craggy Range Te Muna Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272865,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272865 returned 404,mapping_rejected_terminal_or_deleted_winerim
772867,B Dr. Loosen Beerenauslese,903925,DULCE WINERIM,True,False,False,BOTTLE,272867,DULCE WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272867 returned 404,mapping_rejected_terminal_or_deleted_winerim
772868,B Dulas P.X. Barrica,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272868,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272868 returned 404,mapping_rejected_terminal_or_deleted_winerim
772869,B Dulas Blanco Sobre Lías,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272869,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272869 returned 404,mapping_rejected_terminal_or_deleted_winerim
772871,B Dulas,900157,TINTOS WINERIM,True,False,False,BOTTLE,272871,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272871 returned 404,mapping_rejected_terminal_or_deleted_winerim
772877,B La Raspa,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272877,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272877 returned 404,mapping_rejected_terminal_or_deleted_winerim
772882,B Magnético,900157,TINTOS WINERIM,True,False,False,BOTTLE,272882,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272882 returned 404,mapping_rejected_terminal_or_deleted_winerim
772884,B Nero de Sort,900157,TINTOS WINERIM,True,False,False,BOTTLE,272884,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272884 returned 404,mapping_rejected_terminal_or_deleted_winerim
772887,B Quelías Rosé,903516,ROSADOS WINERIM,True,False,False,BOTTLE,272887,ROSADOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272887 returned 404,mapping_rejected_terminal_or_deleted_winerim
772894,B 6º Elemento,900157,TINTOS WINERIM,True,False,False,BOTTLE,272894,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272894 returned 404,mapping_rejected_terminal_or_deleted_winerim
772895,B Siah,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272895,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272895 returned 404,mapping_rejected_terminal_or_deleted_winerim
772897,B Spy Valley Sauvignon Blanc,904241,BLANCOS WINERIM,True,False,False,BOTTLE,272897,BLANCOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272897 returned 404,mapping_rejected_terminal_or_deleted_winerim
772901,B Gróf Degenfeld Tokaji Organikus Szamorodni,903925,DULCE WINERIM,True,False,False,BOTTLE,272901,DULCE WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272901 returned 404,mapping_rejected_terminal_or_deleted_winerim
772905,B Volver Single Vineyard,900157,TINTOS WINERIM,True,False,False,BOTTLE,272905,TINTOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272905 returned 404,mapping_rejected_terminal_or_deleted_winerim
772908,B Tarima Sparkling,908875,ESPUMOSOS WINERIM,True,False,False,BOTTLE,272908,ESPUMOSOS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272908 returned 404,mapping_rejected_terminal_or_deleted_winerim
972845,C. SAN SALVADOR GODELLO,37,VINOS POR COPAS,False,True,False,GLASS,272845,VINOS POR COPAS,CONFIRMED,VERIFIED,,glass_product_present_but_auto_push_glass=false
972883,C Majuelo del Chiviritero La Seca,901954,COPAS WINERIM,True,True,False,GLASS,272883,COPAS WINERIM,CONFIRMED,VERIFIED,,glass_product_present_but_auto_push_glass=false
972886,C Paul Cluver Riesling,901954,COPAS WINERIM,True,False,False,GLASS,272886,COPAS WINERIM,REJECTED,FAILED,terminal_stock_mapping_rejected: Winerim stock/wine/272886 returned 404,mapping_rejected_terminal_or_deleted_winerim
975433,C Forster Pechstein Riesling GG Dry,901954,COPAS WINERIM,True,True,False,GLASS,275433,COPAS WINERIM,CONFIRMED,VERIFIED,,glass_product_present_but_auto_push_glass=false
